,amm,id,rate,timestamp,underlyingPrice,date
3919,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x5b29e68edb8fed79cc4dd94cdab7c66e25e431c0afeb8f03020846492676bf91-0,9.532309273651e-06,1608606060,608.7475993982472,2020-12-22 03:01:00
3918,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x0639054e67f7d2b9e9bfa38b285150a44adaf3c32561d41bf838398fcd5a0a00-0,6.143626668377e-06,1608609660,611.13712573815,2020-12-22 04:01:00
3917,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xa12c18928bd9837344d711c8b71a6ba3c8f17187faf2f1a55a432ecebfaa7840-0,1.7820162263634e-05,1608613260,613.2778545888889,2020-12-22 05:01:00
3916,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x0eaf1e143e2d95cd796796a9a1291f06c0129f705357c53846d375446d9dd0cf-0,-5.1271903135388e-05,1608616855,609.517350993725,2020-12-22 06:00:55
3915,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x1c64751c974f286ff87fae9796c4ec75abdb34ae4a2a2e7a3b500cb10bd8f6e8-0,-1.066232241538e-06,1608620460,606.4299482854167,2020-12-22 07:01:00
3914,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x5622f30e1ed4375b26faaef7a07134867482c93abc3bcbd70d54ac935806958a-0,-0.000109836281482904,1608624055,602.1962972341389,2020-12-22 08:00:55
3913,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x8617eeb05daf7d43e13b5572dd2bec486a785aa0f118385ec498df8baa140d40-0,1.1521633312172e-05,1608627655,594.5598443719833,2020-12-22 09:00:55
3912,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x9bda2f6c90537b8297fb50c2935c133fe0ae80d9789152b292974302c8a9d371-0,-7.8944428295987e-05,1608631495,600.341637085275,2020-12-22 10:04:55
3911,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xf14f3adc59dab352067b9a71fd1f2f371760675f5a4100cd1cd0604e1440b717-0,-8.9931820758551e-05,1608634855,603.9688180290806,2020-12-22 11:00:55
3910,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xd3b57cdf1f48f505443510530a83c47b4191ca6bd2f83b24fd87b48cb59ece49-0,5.8453221058251e-05,1608638460,606.2254264634499,2020-12-22 12:01:00
3909,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0xd9b5e149562f90aadd2de6cf99c9d7c5c5fea1bff1839e24b071075a8c8ae10c-0,-3.1738303107353e-05,1608642060,612.3011010456333,2020-12-22 13:01:00
3908,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x0193cb06b7c11b68e418ff528d12c9296db1628415ac8553b76a6340681e72cb-0,-2.0467730518324e-05,1608645655,612.5474100714083,2020-12-22 14:00:55
3907,0x8d22f1a9dce724d8c1b4c688d75f17a2fe2d32df,0x17d7d11e769e218c3f6e20816d99ec374c0a67324ff314cf5c1ff00647acf04f-0,1.1046780265347e-05,1608649260,617.58263048,2020-12-22 15:01:00
